source	sink	sorenson
OTU_1	OTU_1	1.0
OTU_2	OTU_1	0.0
OTU_3	OTU_1	0.7391304347826086
OTU_5	OTU_1	0.4137931034482759
OTU_4	OTU_1	0.15384615384615385
OTU_11	OTU_1	0.0
OTU_6	OTU_1	0.7096774193548387
OTU_7	OTU_1	0.6818181818181819
OTU_8	OTU_1	0.6111111111111112
OTU_10	OTU_1	0.4375
OTU_9	OTU_1	0.2068965517241379
OTU_12	OTU_1	0.0
OTU_13	OTU_1	0.11111111111111116
OTU_14	OTU_1	0.38095238095238093
OTU_15	OTU_1	0.0
OTU_16	OTU_1	0.0
OTU_18	OTU_1	0.6
OTU_17	OTU_1	0.2857142857142857
OTU_19	OTU_1	0.41666666666666663
OTU_20	OTU_1	0.0
OTU_27	OTU_1	0.5161290322580645
OTU_21	OTU_1	0.36363636363636365
OTU_24	OTU_1	0.41666666666666663
OTU_23	OTU_1	0.0
OTU_22	OTU_1	0.17391304347826086
OTU_29	OTU_1	0.4545454545454546
OTU_30	OTU_1	0.5217391304347826
OTU_25	OTU_1	0.5161290322580645
OTU_26	OTU_1	0.0
OTU_37	OTU_1	0.30000000000000004
OTU_59	OTU_1	0.37037037037037035
OTU_28	OTU_1	0.36363636363636365
OTU_36	OTU_1	0.48275862068965514
OTU_33	OTU_1	0.5714285714285714
OTU_32	OTU_1	0.16666666666666663
OTU_44	OTU_1	0.5
OTU_31	OTU_1	0.18181818181818177
OTU_34	OTU_1	0.0
OTU_49	OTU_1	0.4444444444444444
OTU_48	OTU_1	0.3846153846153846
OTU_38	OTU_1	0.26086956521739135
OTU_35	OTU_1	0.0
OTU_41	OTU_1	0.6206896551724138
OTU_42	OTU_1	0.5185185185185186
OTU_39	OTU_1	0.10526315789473684
OTU_65	OTU_1	0.4444444444444444
OTU_40	OTU_1	0.0
OTU_43	OTU_1	0.4137931034482759
OTU_45	OTU_1	0.6153846153846154
OTU_51	OTU_1	0.2857142857142857
OTU_52	OTU_1	0.0
OTU_57	OTU_1	0.08333333333333337
OTU_83	OTU_1	0.4347826086956522
OTU_46	OTU_1	0.21052631578947367
OTU_47	OTU_1	0.2727272727272727
OTU_56	OTU_1	0.6923076923076923
OTU_50	OTU_1	0.19047619047619047
OTU_55	OTU_1	0.0
OTU_103	OTU_1	0.4444444444444444
OTU_53	OTU_1	0.21052631578947367
OTU_54	OTU_1	0.0
OTU_62	OTU_1	0.26086956521739135
OTU_75	OTU_1	0.21052631578947367
OTU_58	OTU_1	0.11111111111111116
OTU_60	OTU_1	0.2857142857142857
OTU_63	OTU_1	0.2857142857142857
OTU_87	OTU_1	0.18181818181818177
OTU_61	OTU_1	0.09999999999999998
OTU_81	OTU_1	0.31999999999999995
OTU_84	OTU_1	0.5833333333333333
OTU_77	OTU_1	0.33333333333333337
OTU_82	OTU_1	0.0
OTU_64	OTU_1	0.11111111111111116
OTU_70	OTU_1	0.0
OTU_72	OTU_1	0.0
OTU_67	OTU_1	0.0
OTU_66	OTU_1	0.0
OTU_68	OTU_1	0.0
OTU_73	OTU_1	0.41666666666666663
OTU_69	OTU_1	0.0
OTU_71	OTU_1	0.30000000000000004
OTU_78	OTU_1	0.5
OTU_74	OTU_1	0.0
OTU_76	OTU_1	0.0
OTU_79	OTU_1	0.19999999999999996
OTU_93	OTU_1	0.30000000000000004
OTU_96	OTU_1	0.5925925925925926
